customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2100-Beta-166,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),103.44,4344.48,No
4022-Alpha-167,Female,1,Yes,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.81,714.78,No
1072-Gamma-168,Male,0,No,Yes,29,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),82.61,2395.69,Yes
7367-Gamma-169,Female,0,No,No,62,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),65.13,4038.06,No
2916-Alpha-170,Female,0,No,No,58,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,98.21,5696.18,No
4065-Beta-171,Female,0,No,Yes,42,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),67.39,2830.38,No
9006-Alpha-172,Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.76,1287.36,No
3755-Beta-173,Female,0,Yes,No,30,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,70.75,2122.5,No
8368-Beta-174,Female,0,No,Yes,16,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.34,1557.44,No
9720-Beta-175,Male,1,No,No,43,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,80.51,3461.93,Yes
3396-Gamma-176,Female,0,No,No,11,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),94.39,1038.29,Yes
8449-Beta-177,Female,0,Yes,No,60,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),76.22,4573.2,Yes
5646-Beta-178,Male,1,No,Yes,62,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),104.71,6492.02,No
4314-Gamma-179,Male,1,Yes,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,79.09,632.72,No
8032-Gamma-180,Male,0,Yes,Yes,56,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,71.78,4019.68,Yes
7919-Gamma-181,Male,1,Yes,Yes,54,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),77.89,4206.06,Yes
3181-Gamma-182,Male,0,Yes,Yes,40,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,77.95,3118.0,Yes
3293-Alpha-183,Female,1,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,105.04,4936.88,Yes
7418-Beta-184,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.93,293.58,No
9655-Alpha-185,Female,1,Yes,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,16.91,659.49,Yes
8717-Alpha-186,Male,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),45.45,1908.9,No
9300-Beta-187,Female,1,No,Yes,26,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,81.12,2109.12,No
6081-Gamma-188,Female,0,Yes,Yes,31,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.31,3388.61,Yes
1185-Alpha-189,Female,1,No,Yes,24,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,72.82,1747.68,Yes
5308-Gamma-190,Male,1,No,No,43,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,87.02,3741.86,Yes
1721-Alpha-191,Male,0,No,No,30,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.26,2497.8,Yes
6241-Beta-192,Male,1,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,94.91,189.82,Yes
8483-Alpha-193,Female,0,No,No,15,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,83.07,1246.05,Yes
4817-Gamma-194,Female,0,No,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.22,236.86,Yes
4361-Gamma-195,Male,1,No,Yes,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,92.93,2787.9,Yes
9280-Alpha-196,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),85.91,1460.47,No
4827-Alpha-197,Male,0,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),46.27,1897.07,No
6145-Beta-198,Male,1,Yes,No,42,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,59.17,2485.14,No
6370-Alpha-199,Male,0,No,No,31,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),78.62,2437.22,No
2669-Alpha-200,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,114.62,3323.98,Yes
8265-Alpha-201,Male,1,Yes,Yes,33,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),76.74,2532.42,Yes
3831-Beta-202,Male,0,No,No,45,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,51.96,2338.2,No
2437-Beta-203,Female,0,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),88.27,2648.1,Yes
3946-Alpha-204,Female,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.81,2117.36,No
3615-Alpha-205,Male,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,37.08,815.76,No
3885-Alpha-206,Female,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,112.61,1914.37,No
4584-Alpha-207,Female,0,No,Yes,13,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),91.95,1195.35,No
2188-Beta-208,Female,0,No,No,22,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,59.76,1314.72,No
3872-Beta-209,Female,1,Yes,Yes,43,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),80.8,3474.4,No
2274-Alpha-210,Female,1,Yes,Yes,47,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),85.86,4035.42,No
2770-Gamma-211,Male,0,No,No,44,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),43.28,1904.32,No
4695-Alpha-212,Female,0,Yes,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,101.7,2949.3,No
9962-Alpha-213,Female,1,Yes,No,54,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),89.73,4845.42,No
5612-Beta-214,Male,0,Yes,No,9,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),87.37,786.33,No
4271-Alpha-215,Male,0,Yes,No,41,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.15,2548.15,Yes
4029-Beta-216,Female,1,Yes,No,34,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.82,3121.88,Yes
2404-Gamma-217,Female,1,Yes,Yes,6,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,75.69,454.14,Yes
9226-Gamma-218,Male,0,No,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,114.43,5607.07,Yes
5225-Beta-219,Male,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),15.06,677.7,No
1202-Gamma-220,Female,0,No,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),100.57,6939.33,No
8750-Alpha-221,Male,1,No,Yes,46,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),78.85,3627.1,Yes
1331-Beta-222,Female,1,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.08,1865.04,Yes
8259-Beta-223,Female,1,Yes,Yes,25,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),61.76,1544.0,Yes
9303-Beta-224,Male,0,Yes,Yes,2,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),92.38,184.76,No
8605-Gamma-225,Female,0,Yes,Yes,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),17.19,1082.97,No
3909-Beta-226,Female,1,Yes,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,111.78,6706.8,No
5408-Gamma-227,Female,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),97.37,3894.8,Yes
8520-Beta-228,Male,1,No,No,23,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),83.12,1911.76,No
6327-Beta-229,Female,1,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),101.36,4054.4,No
7628-Beta-230,Male,0,No,Yes,39,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,78.9,3077.1,No
5237-Gamma-231,Male,1,Yes,Yes,37,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),60.12,2224.44,Yes
2929-Beta-232,Male,0,No,Yes,48,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),87.4,4195.2,No
8496-Alpha-233,Female,0,Yes,No,48,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,70.37,3377.76,No
3595-Beta-234,Male,0,No,No,17,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,61.96,1053.32,No
6279-Gamma-235,Male,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,37.44,1984.32,No
2682-Beta-236,Female,0,Yes,Yes,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.09,1193.94,No
9524-Gamma-237,Female,1,Yes,No,57,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,89.11,5079.27,Yes
4460-Gamma-238,Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,37.54,1801.92,No
1785-Gamma-239,Male,0,Yes,Yes,12,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,75.84,910.08,Yes
5933-Beta-240,Male,1,Yes,No,26,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,98.34,2556.84,Yes
6864-Gamma-241,Female,1,Yes,Yes,57,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,89.06,5076.42,No
9095-Alpha-242,Male,0,Yes,No,54,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.63,4624.02,No
6901-Gamma-243,Female,1,Yes,Yes,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),95.25,4762.5,Yes
6615-Alpha-244,Male,1,No,No,21,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,83.61,1755.81,No
2699-Beta-245,Female,1,Yes,No,45,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,60.46,2720.7,Yes
2037-Beta-246,Female,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.07,1637.01,No
6664-Gamma-247,Female,0,Yes,Yes,47,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),76.38,3589.86,No
1824-Gamma-248,Male,1,No,Yes,45,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),66.93,3011.85,Yes
1291-Alpha-249,Female,1,Yes,Yes,65,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),105.15,6834.75,No
8751-Gamma-250,Female,1,Yes,Yes,56,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),86.91,4866.96,No
3301-Gamma-251,Female,0,No,Yes,24,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,109.2,2620.8,No
3018-Beta-252,Female,0,No,Yes,71,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),104.61,7427.31,No
7859-Gamma-253,Male,1,No,No,23,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,68.4,1573.2,Yes
4435-Gamma-254,Female,1,Yes,Yes,14,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,62.0,868.0,Yes
1414-Beta-255,Male,0,Yes,Yes,48,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,58.18,2792.64,No
6876-Beta-256,Male,0,No,Yes,16,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),52.63,842.08,No
4327-Gamma-257,Female,0,No,Yes,24,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,92.61,2222.64,No
8020-Beta-258,Female,0,Yes,No,25,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),79.64,1991.0,No
6866-Alpha-259,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,40.04,1441.44,Yes
6724-Alpha-260,Male,1,No,No,27,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,72.71,1963.17,No
1653-Gamma-261,Female,1,Yes,No,26,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,51.28,1333.28,Yes
6248-Gamma-262,Male,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,113.67,3751.11,Yes
8523-Gamma-263,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),77.97,3742.56,Yes
8094-Beta-264,Male,1,Yes,Yes,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),107.57,4195.23,Yes
7249-Beta-265,Male,1,Yes,Yes,13,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.1,1353.3,Yes
1082-Gamma-266,Female,0,No,Yes,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),17.98,1024.86,No
9397-Alpha-267,Male,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,108.93,3376.83,Yes
4234-Gamma-268,Female,1,No,Yes,22,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),79.87,1757.14,Yes
3496-Gamma-269,Female,1,No,Yes,68,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),96.64,6571.52,Yes
8583-Beta-270,Female,1,No,Yes,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.34,3786.88,Yes
7637-Gamma-271,Male,0,No,No,38,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),77.51,2945.38,No
9227-Alpha-272,Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,109.6,5260.8,No
5331-Beta-273,Male,0,Yes,No,43,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),79.15,3403.45,Yes
9918-Gamma-274,Male,1,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,81.67,2613.44,Yes
9222-Alpha-275,Female,0,Yes,Yes,61,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),69.75,4254.75,No
6410-Gamma-276,Male,1,No,No,20,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.17,2123.4,Yes
3406-Alpha-277,Male,1,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.19,2273.02,No
8359-Gamma-278,Female,1,Yes,Yes,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.0,855.0,Yes
9369-Beta-279,Male,1,No,Yes,62,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,85.77,5317.74,No
3906-Beta-280,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),102.82,719.74,No
6742-Gamma-281,Male,1,Yes,No,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.44,699.84,No
5641-Gamma-282,Female,1,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,95.31,4003.02,No
7980-Gamma-283,Female,1,No,No,9,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),54.28,488.52,No
6024-Gamma-284,Female,1,Yes,Yes,22,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),103.95,2286.9,Yes
1086-Alpha-285,Male,1,No,Yes,51,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,71.76,3659.76,Yes
3871-Gamma-286,Female,1,Yes,Yes,8,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,85.03,680.24,Yes
3579-Alpha-287,Female,1,No,No,17,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),77.86,1323.62,Yes
4707-Gamma-288,Male,1,No,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),47.21,1605.14,No
9813-Gamma-289,Female,1,No,No,36,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),92.27,3321.72,No
4610-Gamma-290,Male,1,No,No,21,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),76.86,1614.06,No
6142-Beta-291,Male,1,Yes,Yes,43,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.49,4106.07,Yes
6833-Alpha-292,Male,0,Yes,No,30,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),65.93,1977.9,No
7518-Alpha-293,Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,40.0,1560.0,No
8490-Alpha-294,Female,1,Yes,Yes,43,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.1,4132.3,Yes
8722-Gamma-295,Female,1,Yes,No,36,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,65.72,2365.92,No
3148-Gamma-296,Male,0,No,Yes,32,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),63.25,2024.0,Yes
9185-Alpha-297,Female,1,No,No,52,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),75.81,3942.12,No
6483-Beta-298,Female,1,No,No,37,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),94.59,3499.83,No
8322-Alpha-299,Female,1,No,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),96.45,1639.65,No
6191-Gamma-300,Female,1,No,No,17,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,83.33,1416.61,Yes
5122-Gamma-301,Male,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),110.26,2646.24,No
3544-Alpha-302,Female,1,Yes,Yes,40,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),94.68,3787.2,Yes
8801-Beta-303,Female,1,Yes,Yes,37,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),59.43,2198.91,Yes
6992-Beta-304,Female,0,No,Yes,21,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,72.58,1524.18,No
8052-Beta-305,Male,0,No,Yes,35,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),68.74,2405.9,Yes
2297-Beta-306,Male,1,No,No,60,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),68.29,4097.4,No
5458-Gamma-307,Female,0,No,Yes,58,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,91.02,5279.16,No
4814-Alpha-308,Male,0,No,Yes,17,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,66.63,1132.71,No
3393-Alpha-309,Female,1,Yes,No,10,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,87.1,871.0,Yes
1549-Alpha-310,Female,0,Yes,No,51,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),78.62,4009.62,Yes
4255-Beta-311,Male,0,Yes,Yes,19,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,55.4,1052.6,Yes
1688-Gamma-312,Female,0,No,Yes,39,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,88.43,3448.77,No
3061-Beta-313,Male,1,No,No,10,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),83.1,831.0,No
9892-Gamma-314,Female,0,Yes,No,18,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),77.87,1401.66,Yes
9873-Beta-315,Female,0,No,Yes,49,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.75,3711.75,Yes
6285-Beta-316,Female,0,Yes,Yes,51,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,97.78,4986.78,No
7366-Gamma-317,Female,1,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.95,1883.95,Yes
9051-Alpha-318,Female,0,No,No,69,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,65.27,4503.63,No
2658-Gamma-319,Male,1,Yes,Yes,12,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,81.44,977.28,No
7579-Gamma-320,Female,0,No,No,24,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),65.12,1562.88,Yes
5162-Beta-321,Female,1,No,Yes,23,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),100.75,2317.25,Yes
1355-Gamma-322,Female,0,Yes,Yes,39,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),79.61,3104.79,Yes
5920-Alpha-323,Female,0,Yes,No,68,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,58.89,4004.52,No
6478-Beta-324,Female,1,Yes,Yes,26,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,99.61,2589.86,Yes
1827-Gamma-325,Female,1,Yes,Yes,49,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,76.89,3767.61,Yes
9980-Beta-326,Female,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,115.73,5670.77,Yes
5362-Beta-327,Female,0,Yes,No,58,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,74.3,4309.4,Yes
6729-Gamma-328,Female,0,No,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),126.24,7953.12,No
1225-Beta-329,Male,1,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.58,1266.56,No
4339-Gamma-330,Female,1,Yes,Yes,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),16.05,802.5,No
3790-Alpha-331,Female,0,No,Yes,24,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.64,1911.36,Yes
7332-Alpha-332,Female,0,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),46.54,3025.1,No
